ADM	administration
AER	aéronautique
ALI	alimentation
ANA	anatomie
ANI	animal(petit)
ARM	arme
ART	athropode
AST	astronomie
AUT	automobile
AVI	oiseau
BAC	bactérie, virus
BAT	bâtiment
BIO	biologie
BOI	boisson
BOT	botanique
BOU	boucherie
BXA	beaux-arts
CHI	chirurgie
CHM	chimie
CHS	chasse
CIN	cinéma
COL	couleurs
COM	commerce
COS	cosmétologie
COU	couture
CRU	crustacé
CUL	culture, agriculture
CYC	cyclisme
D01	départements
DAN	danse
DRO	droit
ECN	économie
ECR	écriture, écrits
ELT	électricité
ELV	élevage
ENS	enseignement
ENT	entomologie
EQU	équitation
ETH	ethnologie
FAC	façon, manière
FOR	fortification
GAT	gâteau, patisserie
GEG	géographie
GEL	géologie
GRE	antiquité grecque
HAB	vêtements
HIS	histoire
HRL	horlogerie
HYD	hydrologie
INF	informatique
JEU	jeu
LAI	lait
LAN	langue
LIN	linguistique
LIT	littérature
LOC	locatif, lieux
LOQ	parole, parler
MAM	mammifère
MAN	manutention
MAR	marine
MAT	mathématiques
MEC	mécanique
MED	médecine
MEN	menuiserie, bois
MES	mesure
MIL	militaire
MIN	mines
MOB	mobilier
MOL	mollusque
MTO	météorologie
MTR	métrique
MUS	musique
MYT	mythologie
NBR	nombre
OBJ	objet
OCC	occultisme
OCE	océans
OMB	ver, herpétologie
ORI	orientalisme
PAP	papeterie
PAT	pathologie
PEA	peausserie
PEC	pêche
PEI	peinture industrielle
PEN	justice, délit
PET	pétrole
PHA	pharmacie
PHI	philosophie
PHN	phonétique
PHS	préhistoire
PHT	photographie
PHY	physique
PIS	poissons
PLA	plantes
POL	politique
PRE	presse
PSP	psychiatrie
PSY	psychologie
QUA	quantité, quantitatif
RAI	chemin de fer
REG	régions, pays
REP	reptiles
RLA	relation
RLG	religion
ROM	antiquité romaine
SOC	sociologie
SOM	corps humain
SPE	spectacle
SPO	sports
SYL	sylviculture
TAB	tabac
TEC	technique
TEL	télécommunications
TEX	textile
TOU	tourisme
TPS	temps
TRA	travaux publics
TYP	typographie
URB	ville
VAI	vaisselle
VEH	véhicule, route
VER	verrerie
VIT	viticulture
VOX	voix, bruit
ZOO	zoologie
