verbe,temps,1ps,2ps,3ps,1pp,2pp,3pp
,,,,,,,
abattre,Présent,abats,abats,abat,abattons,abattez,abattent
abattre,Passé composé,ai abattu,as abattu,a abattu,avons abattu,avez abattu,ont abattu
abattre,Imparfait,abattais,abattais,abattait,abattions,abattiez,abattaient
abattre,Futur simple,abattrai,abattras,abattra,abatrons,abattrez,abattront
absoudre,Présent,absous,absous,absout,absolvons,absolvez,absolvent
absoudre,Passé composé,ai absous,as absous,a absous,avons absous,avez absous,ont absous
absoudre,Imparfait,absolvais,absolvais,absolvait,absolvions,absolviez,absolvaient
absoudre,Futur simple,absoudrais,absoudras,absoudra,absoudrons,absoudrez,absoudront
abstraire,Présent,abstrais,abstrais,abstrait,abstrayons,abstrayez,abstraient
abstraire,Passé composé,ai abstrait,as abstrait,a abstrait,avons abstrait,avez abstrait,ont abstrait
abstraire,Imparfait,abstrayais,abstrayais,abstrayait,abstrayions,abstrayiez,abstrayaisent
abstraire,Futur simple,abstrairai,abstrairais,abstraira,abstrairons,abstrairez,abstrairont
accourir,Présent,accours,accours,accourt,accourons,accourez,accourent
accourir,Passé composé,ai accouru,as accouru,a accouru,avons accouru,avez accouru,ont accouru
accourir,Imparfait,accourais,accourais,accourait,accourions,accouriez,accouraient
accourir,Futur simple,acourrais,acourras,accourra,accourrons,accourrez,accourront
accroitre,Présent,accrois,accrois,accroît,accroissons,accroissez,accroissent
accroitre,Passé composé,ai accru,as accru,a accru,avons accru,avez accru,ont accru
accroitre,Imparfait,accroissais,accroissais,accroissait,accroissions,acroissiez,accroissaient
accroitre,Futur simple,accroîtrai,accroîtras,accroîtra,accoîtrons,accroîtrez,accroîtrons
accueillir,Présent,accuellie,accueilles,accueille,accueillons,accueillez,accueillent
accueillir,Passé composé,ai accueilli,as accueilli,a accueilli,avons accueilli,avez accueilli,ont acueilli
accueillir,Imparfait,accueillais,accueillais,acueillait,accueillions,accueilliez,accueillaient
accueillir,Futur simple,accueillerai,accueilleras,accueillera,accueillirons,accueillerez,accueilleront
acquérir,Présent,acquiers,acquiers,acquiert,acquérons,acquérez,acquièrent
acquérir,Passé composé,ai acquis,as acquis,a acquis,avons acquis,avez acquis,ont acquis
acquérir,Imparfait,acquérais,acquérais,acquérait,acquérions,acquériez,acquéraient
acquérir,Futur simple,acquerrai,acquerras,acquerra,acquerrons,acquerrez,acquerront
adjoindre,Présent,adjoins,adjoins,adjoint,adjoignons,adjoignez,adjoignent
adjoindre,Passé composé,ai adjoint,as adjoint,a adjoint,avons adjoint,avez adjoint,ont adjoint
adjoindre,Imparfait,adjoignais,adjoignais,adjoignait,adjoignions,adjoigniez,adjoignaient
adjoindre,Futur simple,adjoindrai,adjoindras,adjoindra,adjoindrons,adjoindrez,adjoindront
admettre,Présent,admets,admets,admet,admettons,admettez,admettent
admettre,Passé composé,ai admis,as admis,a admis,avons admis,avez admis,ont admis
admettre,Imparfait,admettais,admettais,admettait,admettions,admettiez,admettaient
admettre,Futur simple,admettrai,admettras,admettra,admettrons,admettrez,admettrons
aller,Présent,vais,vas,va,allons,allez,vont
aller,Passé composé,suis allé,es allé,est allé,sommes allés,êtes allés,sont allés
aller,Imparfait,allais,allais,allait,allions,alliez,allaient
aller,Futur simple,irai,iras,ira,irons,irez,iront
aperçevoir,Présent,aperçois,aperçois,aperçois,apercevons,apercevez,aperçoivent
aperçevoir,Passé composé,ai aperçu,as aperçu,a aperçu,avons aperçu,avez aperçu,ont aperçu
aperçevoir,Imparfait,apercevais,apercevais,apercevait,apercevions,aperceviez,apercevaient
aperçevoir,Futur simple,apercevrai,apercevras,apercevra,apercevrons,apercevrez,apercevront
apparaître,Présent,apparais,apparais,apparaît,apparaissons,apparaissez,apparaissent
apparaître,Passé composé,ai apparu,as apparu,a apparu,avons apparu,avez apparu,ont apparu
apparaître,Imparfait,apparaissais,apparaissais,apparaissait,apparaissions,apparaissiez,apparraissaient
apparaître,Futur simple,apparaîtrai,apparaîtras,apparaîtra,apparaîtrons,apparaîtrez,apparaîtront
appartenir,Présent,appartiens,appartiens,appartient,appartenons,appartenez,appartiennent
appartenir,Passé composé,ai appaertenu,as appartenu,a apparenu,avons appartenu,avez appartenu,ont appartenu
appartenir,Imparfait,appartenais,appartennais,appartenait,appartenions,apparteniez,appartenaient
appartenir,Futur simple,appartiendrai,appartiendrais,appartiendrait,appartiendrons,appatiendrez,appartiendront
appendre,Présent,appends,appends,append,appendrons,appendez,appendent
appendre,Passé composé,ai appendu,as appendu,a appendu,avons appendu,avez appendu,ont appendu
appendre,Imparfait,appendais,appendais,appendait,appendions,appendiez,appendaient
appendre,Futur simple,appendrai,appendras,appendra,appendrons,appendrez,appendront
appondre,Présent,apponds,apponds,appond,appondons,appondez,appondent
appondre,Passé composé,ai appondu,as appondu,a appondu,avons appondu,avez appondu,ont appondu
appondre,Imparfait,appondais,appondais,appondait,appondions,appondiez,appondaient
appondre,Futur simple,appondrais,appondras,appondra,appondrons,appondrez,appondront
apprendre,Présent,apprends,apprends,apprend,apprenons,apprenez,apprennent
apprendre,Passé composé,ai appris,as appris,a appris,avons appris,avez appris,ont appris
apprendre,Imparfait,apprenais,apprenais,apprenait,apprenions,apprendiez,apprenanient
apprendre,Futur simple,apprendrai,apprendras,apprendra,apprendrons,apprendrez,apprendront
assaillir,Présent,assaille,assailles,assaille,assaillons,assaillez,assallaient
assaillir,Passé composé,ai assailli,as assailli,a assailli,avons assailli,avez assailli,ont assailli
assaillir,Imparfait,assaillais,assaillais,assaillait,assaillions,assailliez,assaillaient
assaillir,Futur simple,assaillirai,assailliras,assallira,assallirons,assaillirez,assaillirons
asseoir,Présent,assois,assois,assoit,assoyons,assoyez,assoient
